iter	Passed	Remaining
0	174	349607
1	187	187007
2	196	130867
3	207	103342
4	208	83097
5	215	71662
6	228	65087
7	240	59818
8	253	56058
9	275	54826
10	276	49977
11	290	48109
12	315	48189
13	322	45811
14	337	44639
15	340	42283
16	350	40871
17	357	39355
18	372	38795
19	388	38413
20	404	38132
21	416	37483
22	431	37122
23	447	36826
24	461	36433
25	472	35862
26	480	35114
27	497	35025
28	511	34738
29	524	34456
30	535	34013
31	550	33831
32	563	33614
33	579	33519
34	593	33324
35	607	33119
36	621	32947
37	626	32341
38	640	32204
39	654	32059
40	664	31756
41	679	31691
42	693	31553
43	707	31452
44	720	31307
45	729	30993
46	743	30891
47	754	30692
48	771	30699
49	789	30783
50	803	30723
51	817	30637
52	833	30624
53	845	30484
54	853	30188
55	865	30048
56	881	30051
57	891	29842
58	904	29740
59	915	29610
60	931	29605
61	946	29593
62	963	29611
63	972	29418
64	983	29267
65	997	29229
66	1011	29176
67	1021	29033
68	1036	29016
69	1051	28995
70	1067	28992
71	1081	28962
72	1093	28864
73	1100	28654
74	1112	28554
75	1117	28286
76	1133	28320
77	1149	28313
78	1165	28343
79	1182	28389
80	1199	28423
81	1213	28395
82	1221	28209
83	1230	28077
84	1242	27985
85	1252	27873
86	1268	27902
87	1278	27772
88	1293	27781
89	1302	27633
90	1312	27532
91	1325	27481
92	1340	27491
93	1356	27498
94	1370	27480
95	1384	27456
96	1398	27443
97	1414	27457
98	1425	27377
99	1437	27316
100	1453	27323
101	1467	27309
102	1483	27322
103	1499	27332
104	1512	27304
105	1528	27309
106	1543	27314
107	1556	27272
108	1570	27244
109	1583	27209
110	1598	27202
111	1608	27115
112	1622	27097
113	1627	26927
114	1638	26860
115	1650	26806
116	1660	26724
117	1675	26719
118	1690	26724
119	1691	26504
120	1703	26456
121	1717	26441
122	1724	26322
123	1740	26335
124	1754	26315
125	1764	26238
126	1772	26144
127	1788	26153
128	1799	26098
129	1812	26078
130	1826	26059
131	1839	26038
132	1851	25991
133	1866	25994
134	1881	25996
135	1892	25933
136	1900	25840
137	1913	25822
138	1926	25794
139	1939	25766
140	1950	25709
141	1965	25713
142	1981	25730
143	1994	25704
144	2008	25692
145	2020	25652
146	2026	25549
147	2040	25536
148	2054	25520
149	2062	25440
150	2063	25271
151	2078	25266
152	2093	25274
153	2108	25279
154	2125	25295
155	2140	25304
156	2154	25286
157	2167	25268
158	2178	25223
159	2224	25587
160	2234	25518
161	2249	25523
162	2250	25362
163	2260	25311
164	2274	25291
165	2287	25271
166	2302	25269
167	2312	25216
168	2325	25195
169	2335	25141
170	2352	25157
171	2431	25842
172	2449	25871
173	2460	25822
174	2471	25776
175	2486	25766
176	2494	25696
177	2510	25692
178	2510	25543
179	2518	25465
180	2534	25472
181	2544	25413
182	2551	25334
183	2563	25296
184	2578	25295
185	2591	25276
186	2606	25266
187	2616	25222
188	2627	25175
189	2628	25040
190	2645	25057
191	2647	24934
192	2661	24914
193	2673	24884
194	2686	24868
195	2710	24951
196	2725	24944
197	2746	24997
198	2768	25059
199	2779	25014
200	2799	25059
201	2815	25057
202	2825	25009
203	2836	24974
204	2850	24955
205	2861	24916
206	2875	24909
207	2885	24857
208	2892	24789
209	2902	24741
210	2918	24744
211	2936	24766
212	2948	24733
213	2959	24698
214	2972	24682
215	2985	24661
216	2998	24638
217	3014	24639
218	3023	24588
219	3033	24543
220	3041	24479
221	3048	24412
222	3063	24410
223	3072	24358
224	3073	24243
225	3088	24243
226	3103	24243
227	3115	24211
228	3128	24197
229	3142	24179
230	3154	24160
231	3163	24110
232	3169	24039
233	3185	24041
234	3193	23985
235	3206	23967
236	3220	23955
237	3237	23967
238	3251	23954
239	3260	23910
240	3261	23804
241	3275	23795
242	3289	23781
243	3302	23768
244	3308	23696
245	3322	23688
246	3337	23686
247	3349	23661
248	3360	23631
249	3365	23559
250	3378	23542
251	3385	23484
252	3401	23488
253	3415	23476
254	3426	23449
255	3433	23393
256	3447	23380
257	3461	23370
258	3476	23370
259	3487	23336
260	3505	23354
261	3512	23297
262	3523	23269
263	3536	23258
264	3550	23244
265	3560	23208
266	3573	23194
267	3587	23183
268	3597	23146
269	3610	23133
270	3626	23135
271	3637	23110
272	3644	23057
273	3656	23033
274	3669	23017
275	3684	23016
276	3698	23003
277	3713	23002
278	3716	22923
279	3722	22867
280	3731	22828
281	3744	22813
282	3755	22786
283	3768	22768
284	3781	22753
285	3796	22754
286	3811	22751
287	3824	22735
288	3836	22711
289	3848	22694
290	3859	22664
291	3873	22656
292	3882	22618
293	3897	22616
294	3910	22604
295	3922	22580
296	3927	22520
297	3940	22506
298	3955	22503
299	3962	22455
300	3974	22433
301	3989	22429
302	4003	22421
303	4012	22384
304	4027	22381
305	4044	22388
306	4055	22364
307	4070	22361
308	4079	22325
309	4092	22310
310	4103	22288
311	4119	22286
312	4133	22276
313	4143	22249
314	4158	22244
315	4171	22231
316	4185	22219
317	4194	22185
318	4208	22175
319	4223	22172
320	4236	22158
321	4249	22144
322	4256	22099
323	4271	22094
324	4286	22093
325	4301	22088
326	4312	22065
327	4323	22038
328	4336	22024
329	4351	22021
330	4362	21996
331	4375	21982
332	4378	21919
333	4391	21903
334	4405	21897
335	4416	21874
336	4430	21861
337	4446	21865
338	4463	21868
339	4477	21858
340	4490	21847
341	4499	21814
342	4510	21789
343	4523	21776
344	4527	21716
345	4535	21680
346	4542	21640
347	4556	21628
348	4569	21616
349	4585	21618
350	4599	21606
351	4613	21597
352	4623	21573
353	4637	21562
354	4648	21540
355	4659	21516
356	4673	21506
357	4686	21493
358	4697	21474
359	4708	21451
360	4717	21419
361	4790	21676
362	4807	21678
363	4814	21638
364	4827	21623
365	4841	21614
366	4849	21576
367	4865	21575
368	4877	21559
369	4888	21537
370	4899	21514
371	4912	21500
372	4923	21477
373	4937	21464
374	4945	21432
375	4959	21419
376	4973	21409
377	4985	21391
378	4994	21361
379	5008	21351
380	5024	21349
381	5035	21329
382	5045	21301
383	5054	21271
384	5057	21216
385	5068	21194
386	5082	21182
387	5091	21151
388	5103	21137
389	5118	21128
390	5131	21118
391	5146	21110
392	5157	21088
393	5172	21085
394	5186	21072
395	5202	21073
396	5218	21070
397	5231	21058
398	5245	21047
399	5252	21009
400	5262	20982
401	5277	20979
402	5288	20955
403	5299	20936
404	5313	20926
405	5325	20909
406	5341	20905
407	5351	20880
408	5361	20855
409	5373	20837
410	5384	20815
411	5389	20774
412	5396	20735
413	5410	20725
414	5427	20727
415	5442	20723
416	5449	20687
417	5463	20676
418	5477	20669
419	5491	20658
420	5506	20652
421	5520	20642
422	5529	20615
423	5537	20584
424	5539	20527
425	5552	20514
426	5567	20508
427	5575	20478
428	5587	20459
429	5598	20442
430	5609	20421
431	5618	20393
432	5631	20378
433	5647	20377
434	5662	20370
435	5672	20349
436	5688	20344
437	5699	20327
438	5710	20304
439	5720	20281
440	5733	20268
